Crop,Stage,Disease Name,Pathogen Type , Favorable Weather Conditions ,Symptoms at This Stage ,Why This Stage is Vulnerable ,Preventive Measures ,Monitoring Indicators 
Toor,Harvest,Sterility Mosaic Disease,Virus,Warm,"Reduced seed quality, poor germination",Viral infection at maturity reduces seed viability,"Harvest quality seeds, remove infected plants","Seed germination tests, quality evaluation"
Toor,Harvest,Anthracnose,Fungus,"Warm, wet conditions","Black lesions on seeds, reduced quality",Fungal seed coat infection affects viability,"Use treated seeds, proper storage","Seed quality assessment, fungal infection checks"
,,,,,,,,
,,,,,,,,
chickpea,Seed Treatment & Sowing,Fusarium Wilt (Fusarium oxysporum f. sp. ciceri),Fungus,"25–30°C warm soil, low to moderate soil moisture",Seed may fail to germinate; early seedling yellowing; brown root base,Soil-borne pathogen infects germinating seed and young roots,"Seed treatment (Carbendazim/Trichoderma), resistant varieties, avoid wilt-sick soils","Soil temperature & moisture, early NDVI drop, wilt field history"
chickpea,Seed Treatment & Sowing,Rhizoctonia Root Rot / Seedling Blight (Rhizoctonia solani),Fungus,"Cool–warm moist soil (15–28°C), high organic matter","Pre-emergence damping-off, seed rot, collapsed seedlings",High soil moisture + tender seedling tissues,"Seed treatment (Thiram/Carboxin), proper drainage, avoid heavy early irrigation","Soil moisture >70%, cloudy-humid weather, uneven emergence"
chickpea,Seed Treatment & Sowing,Pythium Damping-Off (Pythium spp.),Oomycete,"High soil moisture, low temps (10–20°C), continuous wetness","Seed rot, soft watery radicle tissues",Pythium rapidly attacks soft tissues during germination,"Seed treatment (Metalaxyl), avoid waterlogging, raised beds","Soil saturation index, rain forecast after sowing, cold–wet conditions"
chickpea,Seed Treatment & Sowing,Ascochyta Blight – Seed-Borne Phase (Ascochyta rabiei),Fungus,"Cool humid weather, RH > 85%",Weak germination; dark specks on seed coat,Seed-borne inoculum activates immediately,"Disease-free seeds, seed treatment (Mancozeb/Chlorothalonil)","Seed purity tests, humidity spikes, past infection history"
chickpea,Seed Treatment & Sowing,Collar Rot (Sclerotium rolfsii),Fungus,"Warm moist soil (20–35°C), high residues",Seedlings die post-emergence; white mycelia at collar zone,Tender tissues highly susceptible; pathogen thrives in warm soil,"Deep ploughing, seed treatment, residue management","Soil temp, sclerotia presence, early NDVI decline"
chickpea,Seed Treatment & Sowing,Dry Root Rot (Macrophomina phaseolina),Fungus,"High temp >30°C, low soil moisture","Poor germination, brittle dry roots",Drought stress weakens seedlings,"Maintain soil moisture, Trichoderma seed treatment","Soil dryness index, temperature spikes"
chickpea,Seed Treatment & Sowing,Root-Knot Nematode (Meloidogyne spp.),Nematode,"Sandy soils, warm temps 25–30°C",Stunted seedlings; early root stress (galls not yet visible),Juveniles attack roots immediately,"Biocontrol seed treatment (P. lilacinus), neem cake","Soil nematode assays, hotspot mapping, slow NDVI gain"
chickpea,Seed Treatment & Sowing,Cutworm (Soil Pest),Insect Pest,"Moist soil, cloudy weather, weedy fields",Cut seedlings near soil surface,Larvae stay in soil and target tender emerging shoots,"Weed removal, soil insecticide, light traps","Pest count from soil sampling, night activity traps"
chickpea,Germination,Fusarium Wilt (Fusarium oxysporum f. sp. ciceri),Fungus,"Warm soil (20–28°C), moderate moisture",Seedlings wilt; root base turns light brown,Soft germinating roots easily infected,"Seed treatment (Carbendazim/Trichoderma), resistant varieties","NDVI stagnation 7–10 DAS, soil temp & moisture"
chickpea,Germination,Rhizoctonia Root Rot / Seedling Blight (Rhizoctonia solani),Fungus,"Moist soil, cloudy weather, 15–28°C",Seedling collapse; brown collar lesions,Tender hypocotyl highly susceptible,"Thiram/Carboxin seed treatment, improve drainage","Soil moisture >70%, uneven emergence"
chickpea,Germination,Pythium Damping-Off (Pythium spp.),Oomycete,Cold wet soils (10–20°C) with saturation,Soft watery root tissue; pre/post-emergence rot,Fast radicle invasion under wetness,"Metalaxyl seed treatment, avoid waterlogging","Soil saturation, rainfall immediately after sowing"
chickpea,Germination,Ascochyta Blight – Seedborne Phase (Ascochyta rabiei),Fungus,"High humidity (>85%), 15–20°C",Weak seedlings; necrotic specks,Seedborne inoculum activates early,"Disease-free seeds, Mancozeb/Chlorothalonil treatment","Humidity spikes, seed health test"
chickpea,Germination,Collar Rot (Sclerotium rolfsii),Fungus,"Warm moist soils (22–35°C), residues",White mycelia on collar; seedling death,Tender collar region vulnerable,"Residue reduction, fungicidal seed dressing","Sclerotia presence, early NDVI dip"
chickpea,Germination,Dry Root Rot (Macrophomina phaseolina),Fungus,"High temp >30°C, dry soil",Weak seedlings; brittle roots,Drought stress lowers resistance,"Maintain soil moisture, Trichoderma coating","Soil dryness index, heat spike"
chickpea,Germination,Root-Knot Nematode (Meloidogyne spp.),Nematode,"Sandy soils, 25–30°C",Stunted seedlings; early root stress,Juveniles attack young roots immediately,"Neem cake, Paecilomyces seed treatment","Nematode assay, slow NDVI gain"
chickpea,Germination,Cutworm (Soil Pest),Insect Pest,"Cloudy, moist, weedy fields",Seedlings cut at soil surface,Larvae attack tender stems,"Weed removal, light traps, soil insecticide","Pest count, missing plants in patches"
chickpea,Emergence,Fusarium Wilt (Fusarium oxysporum f. sp. ciceri),Fungus,"Warm soil (20–28°C), moderate moisture",Sudden yellowing; pale top; slight root discoloration,Shallow root system easily infected; xylem blockage begins,"Seed treatment, resistant varieties, avoid wilt-sick fields","NDVI stagnation (5–10 DAS), soil moisture fluctuations"
chickpea,Emergence,Rhizoctonia Root Rot / Seedling Blight (Rhizoctonia solani),Fungus,"Moist warm soil (15–28°C), high organic matter",Collar lesions; seedlings fall ('sore shin'),Tender hypocotyl passing through infected soil,"Thiram/Carboxin seed treatment, improve drainage","Soil moisture >70%, cloudy-humid spells, uneven emergence"
chickpea,Emergence,Pythium Damping-Off (Pythium spp.),Oomycete,Cold wet soils (10–20°C) with saturation,Seedlings collapse shortly after emergence,Soft cotyledons & hypocotyl ideal for attack,"Metalaxyl seed treatment, avoid early irrigation","Soil saturation, rainfall right after sowing"
chickpea,Emergence,Ascochyta Blight – Initiation Phase (Ascochyta rabiei),Fungus,"Cool (15–20°C), high humidity (>85%)",Tiny brown specks on cotyledons/young leaves,Seedborne inoculum activates as seedlings emerge,"Disease-free seeds, Mancozeb/Chlorothalonil","Humidity spikes, early chlorosis patterns"
chickpea,Emergence,Collar Rot (Sclerotium rolfsii),Fungus,"Warm (22–35°C), moist soils with residues",White fungal growth on collar; seedling death,Tender collar region highly susceptible,"Deep ploughing, residue reduction, fungicidal seed coat","Sclerotia presence, early NDVI dip (7–12 DAS)"
chickpea,Emergence,Dry Root Rot (Macrophomina phaseolina),Fungus,High temperature >30°C + dry soil,Slight wilting; brittle dry roots,Low moisture at emergence weakens seedlings,"Maintain moisture, Trichoderma coating","Soil dryness index, heat-wave alerts"
chickpea,Emergence,Root-Knot Nematode (Meloidogyne spp.),Nematode,"Sandy soils, warm temps 25–30°C",Stunted seedlings; poor taproot development,Juveniles invade roots immediately,"Neem cake, Paecilomyces seed treatment","Nematode assay, low NDVI patches"
chickpea,Emergence,Cutworm (Soil Pest),Insect Pest,"Moist soil, cloudy weather, weedy fields",Seedlings cut at soil surface (night damage),Larvae cut emerging stems at ground level,"Weed cleanup, light traps, soil insecticide","Night trap counts, missing-seedling patches"
chickpea,Vegetative Growth,Ascochyta Blight (Ascochyta rabiei),Fungus,"Cool (15–22°C), humid (>85% RH), cloudy weather",Brown–black lesions on leaves & stems; pycnidia present,Dense canopy increases humidity; rapid leaf expansion,"Preventive sprays (Chlorothalonil/Mancozeb), resistant varieties","Leaf wetness >10 hrs, NDVI patchiness, humidity spikes"
chickpea,Vegetative Growth,Botrytis Gray Mold (Botrytis cinerea),Fungus,"Cool–moist (12–18°C), prolonged fog/dew","Gray fuzzy mold on leaves, petioles, stems",Overlapping leaves trap moisture; canopy stays wet,"Avoid dense planting, Iprodione/Carbendazim sprays","High RH, low airflow, NDVI decline"
chickpea,Vegetative Growth,Alternaria Blight (Alternaria alternata),Fungus,"Warm humid (20–28°C), intermittent rainfall",Circular lesions with yellow halo on older leaves,Lower leaves wet for long; canopy microclimate favors spores,"Remove residues, Mancozeb sprays","Humidity spikes, leaf yellowing, heat + humidity cycles"
chickpea,Vegetative Growth,Fusarium Wilt (Fusarium oxysporum f. sp. ciceri),Fungus,Warm soil (22–28°C),Wilting of branches; brown vascular tissue,Xylem infection worsens as water demand increases,"Resistant varieties, crop rotation, soil health management","NDVI drop, wilt patches, soil temperature"
chickpea,Vegetative Growth,Dry Root Rot (Macrophomina phaseolina),Fungus,"Hot (>30°C), dry soil",Sudden drying; stem shredding,Water stress + heat accelerates pathogen,"Maintain moisture, organic amendments","Soil moisture deficit, heat stress alerts"
chickpea,Vegetative Growth,Collar Rot (Sclerotium rolfsii),Fungus,"Warm (22–35°C), residue-rich soils","Yellowing, drooping from collar upward",Collar partly lignified but still vulnerable,"Residue reduction, soil fungicides","Sclerotia presence, NDVI decline near base"
chickpea,Vegetative Growth,Root-Knot Nematode (Meloidogyne spp.),Nematode,"Sandy soils, warm (25–30°C)","Stunted plants, pale foliage; early root galls form",Rapid root growth exploited by nematodes,"Neem cake, Paecilomyces, crop rotation","Hotspot mapping, low NDVI pockets"
chickpea,Vegetative Growth,Helicoverpa (Early Feeding Stage),Insect Pest,"20–30°C, moderate conditions",Pin-hole feeding; leaf defoliation,Vegetative canopy supports early larvae feeding,"Pheromone traps, Bt/NPV sprays","Trap catches, % leaf damage, NDVI dips"
chickpea,Flowering,Ascochyta Blight (Ascochyta rabiei),Fungus,"Cool (15–22°C), high humidity (>85%), cloudy/rainy","Lesions on leaves, stems, pods; flower drop",Flowering increases canopy humidity and susceptibility,Mancozeb/Chlorothalonil sprays; resistant varieties,"Leaf wetness duration, humidity spikes, NDVI patchiness"
chickpea,Flowering,Botrytis Gray Mold (Botrytis cinerea),Fungus,"Cool–moist (12–18°C), continuous dew/fog","Gray mold on flowers, petioles, pods",Flower clusters trap moisture → ideal for mold,Avoid dense canopy; Iprodione/Carbendazim,"High RH, low airflow, NDVI sudden drop"
chickpea,Flowering,Alternaria Blight (Alternaria alternata),Fungus,"Warm humid (20–28°C), intermittent rain",Concentric lesions; flower shedding,Upper canopy soft tissues prone during flowering,Mancozeb/Chlorothalonil sprays,"Humidity–heat cycles, top leaf yellowing"
chickpea,Flowering,Fusarium Wilt (Fusarium oxysporum),Fungus,Warm soils (22–30°C),Wilting of branches or whole plant; vascular browning,High water/nutrient demand at flowering enhances wilt,Resistant varieties; rotation,"NDVI dip in patches, soil temperature rise"
chickpea,Flowering,Sclerotinia Stem Rot / White Mold (Sclerotinia sclerotiorum),Fungus,"Cool & humid (15–20°C), long wetness",White cottony mycelia; lodging; flower blight,Dense flowering canopy holds moisture,Avoid overhead irrigation; Boscalid/Carbendazim,"Leaf wetness >12 hrs, soil moisture >70%"
chickpea,Flowering,Dry Root Rot (Macrophomina phaseolina),Fungus,"Hot (>30°C), dry soil",Sudden plant death; stem shredding,Drought stress peaks at flowering,Maintain moisture; Trichoderma,"Soil dryness index, heat waves"
chickpea,Flowering,Root-Knot Nematode (Meloidogyne spp.),Nematode,"Sandy soils, warm temps",Poor pod set; weak flowering canopy,High nutrient demand amplifies nematode injury,Neem cake; Paecilomyces,"NDVI low zones, nematode hotspots"
chickpea,Flowering,Pod Borer (Helicoverpa armigera),Insect Pest,"20–30°C, dry spells after rain",Larvae feed on flowers & tender pods,Flowering stage highly attractive to larvae,Pheromone traps; Bt/NPV sprays,"Trap count >8/night, flower damage %"
chickpea,Flowering,Aphids (Aphis craccivora),Insect Pest,"Cool–moderate 15–25°C, dry conditions",Honeydew; curling leaves; flower abortion,Tender floral tissues easily colonized,Neem oil; IMI sprays; ladybird predators,"Aphid count/leaf, sticky traps"
chickpea,Pod Formation (Reproductive Stage),Ascochyta Blight (Ascochyta rabiei),Fungus,"Cool (15–22°C), high humidity (>85%), cloudy/wet days",Dark sunken spots on pods; premature pod drop; shriveled seeds,Pods have soft tissues & high moisture → easy infection,Mancozeb/Chlorothalonil sprays; resistant varieties,"Pod wetness duration, humidity spikes, NDVI decline clusters"
chickpea,Pod Formation (Reproductive Stage),Botrytis Gray Mold (Botrytis cinerea),Fungus,"Cool–moist (12–18°C), dense canopy, fog/dew",Gray mold on pods; flower-to-pod infection,Dense canopy traps moisture around pods,Improve aeration; Iprodione/Carbendazim,"RH >90%, dew persistence, NDVI sudden drop"
chickpea,Pod Formation (Reproductive Stage),Alternaria Pod Blight (Alternaria alternata),Fungus,"Warm humid (20–28°C), intermittent rains",Brown concentric lesions on pods; pod drying,Pod surface stays wet after night dew,Mancozeb sprays; residue removal,"Humidity cycles, yellowing around infected pods"
chickpea,Pod Formation (Reproductive Stage),Sclerotinia Stem Rot / White Mold (Sclerotinia sclerotiorum),Fungus,"Cool humid (15–20°C), wet soil",White fungal growth at stem/pod junction; pod abortion,Thick canopy remains wet during pod fill,Avoid overhead irrigation; Boscalid,"Leaf wetness >12 hrs, soil moisture >70%"
chickpea,Pod Formation (Reproductive Stage),Fusarium Wilt (Late Expression),Fungus,Warm soils (24–30°C),Pod fill failure; partial plant wilt; vascular browning,High water/nutrient demand exposes infection,"Resistant varieties, rotation","Localized NDVI decline, warm soils"
chickpea,Pod Formation (Reproductive Stage),Dry Root Rot (Macrophomina phaseolina),Fungus,"Hot (>30°C), dry soils",Pods small; upper canopy dries suddenly,Drought stress peaks during pod formation,Maintain moisture; Trichoderma,"Soil dryness index, heat spikes"
chickpea,Pod Formation (Reproductive Stage),Root-Knot Nematode (Meloidogyne spp.),Nematode,Sandy warm soils,Poor pod formation; reduced seed filling,Nutrient flow reduced due to root galls,Neem cake; Paecilomyces; rotation,"NDVI low zones, nematode hotspots"
chickpea,Pod Formation (Reproductive Stage),Pod Borer (Helicoverpa armigera),Insect Pest,"20–32°C, dry spells after rain",Larvae bore into pods; seed feeding,Peak attractiveness at pod stage,Pheromone traps; Bt/NPV; Emamectin,"Trap >8/night, pod damage %, NDVI holes"
chickpea,Pod Formation (Reproductive Stage),Aphids (Aphis craccivora),Insect Pest,"15–25°C, dry weather",Stunted pods; poor filling; honeydew,Sap feeding reduces nutrient translocation,Neem oil; IMI sprays; ladybird conservation,"Aphid count/leaf, sticky trap rise"
chickpea,Pod Formation (Reproductive Stage),Stink Bugs / Pod Sucking Bugs,Insect Pest,Warm dry 25–32°C,Shriveled seeds; pod punctures,Pods attract sucking pests,Weed removal; insecticides if needed,"Pest count per 10 sweeps, damaged pods"
chickpea,Maturity,Ascochyta Blight (Ascochyta rabiei),Fungus,"Cool, humid, cloudy weather; late-season rains",Dark lesions on pods; shriveled seeds; pod cracking,Mature pods lose moisture balance & become vulnerable,Avoid late irrigation; Mancozeb spray before maturity,"Pod wetness duration, humidity spikes, NDVI decline"
chickpea,Maturity,Alternaria Pod Blight (Alternaria alternata),Fungus,Warm humid (20–28°C),Brown–black lesions on pods; seed discoloration,Drying pods under stress become more susceptible,Maintain airflow; remove residues; avoid late irrigation,"Humidity cycles, pod surface spots"
chickpea,Maturity,Botrytis Gray Mold (Botrytis cinerea),Fungus,"Cool moist weather, dense canopy",Gray mold on drying pods; pod rotting,Senescing canopy traps moisture near pods,Improve aeration; avoid late irrigation,"Fog/dew persistence, NDVI sudden patch drop"
chickpea,Maturity,Sclerotinia Stem Rot (Sclerotinia sclerotiorum),Fungus,Cool humid soils; heavy residues,White cottony growth on stems/pod junctions,Weakening stems allow pathogen entry,Deep ploughing; moisture control,"Soil moisture >70%, canopy collapse areas"
chickpea,Maturity,Fusarium Wilt (Late Expression),Fungus,Warm soils >25°C,Incomplete pod fill; early plant drying,Cumulative xylem blockage shows late,Crop rotation; resistant varieties,Localized NDVI decline patches
chickpea,Maturity,Dry Root Rot (Macrophomina phaseolina),Fungus,"Hot (>30°C), dry soil",Sudden plant death with pods attached,Heat + drought stress peak at maturity,Maintain moisture earlier; Trichoderma,"Soil dryness index, heat alerts"
chickpea,Maturity,Pod Borer (Helicoverpa armigera),Insect Pest,"20–32°C, dry spells",Larvae bore into mature pods; seed feeding,Late-instar larvae peak feeding at maturity,NPV/Bt; pheromone traps; Emamectin,"Trap catch >8/night, pod damage %"
chickpea,Maturity,Aphids (Aphis craccivora),Insect Pest,"Cool–moderate temperatures, dry conditions",Sooty mold; curled pods; shriveled seeds,Sap feeding restricts seed filling,Neem oil; IMI sprays; predators,"Aphid count/leaf, honeydew presence"
chickpea,Maturity,Stink Bugs / Pod Sucking Bugs,Insect Pest,Warm dry 25–32°C,Shriveled seeds; puncture marks on pods,Hardening pods attract bugs,Weed removal; insecticides if severe,"Bug count per 10 sweeps, damaged pods"
chickpea,Maturity,Seed Weevils / Bruchids (Callosobruchus spp.),Insect Pest,Dry warm weather,Egg laying on pods; holes in seeds during storage,Mature seeds attract bruchids for oviposition,Timely harvest; proper drying; seed treatment,"Adult trap counts, seed holes"
chickpea,Harvest,Ascochyta Blight (Ascochyta rabiei),Fungus,Cool & humid weather close to harvest,Lesions on pods; shriveled seeds; poor grain quality,Late-season moisture reactivates infection on drying pods,Avoid late irrigation; early harvest before rains,"Pod wetness hours, humidity >85%, seed discoloration"
chickpea,Harvest,Alternaria Pod Blight (Alternaria alternata),Fungus,Warm humid spells during drying,Brown spots on dry pods; seed discoloration,Pods dry unevenly causing stress cracks,Timely harvest; proper field drying,"Humidity cycles, pod surface lesions"
chickpea,Harvest,Botrytis Gray Mold (Botrytis cinerea),Fungus,Cool moist weather during harvest,Gray mold on drying pods; poor seed quality,Damp crop lying in field increases mold growth,Quick drying; avoid leaving plants on wet soil,"Fog/dew persistence, mold presence"
chickpea,Harvest,Sclerotinia Stem Rot (Sclerotinia sclerotiorum),Fungus,"Wet soil, cool humid conditions",White mold on stems/pods; lodging issues,Lodged plants touch moist soil and get infected,Remove residues; harvest lodged areas early,"Soil moisture >70%, dead/lodged patches"
chickpea,Harvest,Dry Root Rot (Macrophomina phaseolina),Fungus,"High temperature >30°C, dry soils",Plants brittle; pods poorly filled,Severe drought stress increases late infection,Ensure timely harvest; maintain soil moisture earlier,"Dryness index, heat spikes"
chickpea,Harvest,Seed Weevils / Bruchids (Callosobruchus spp.),Insect Pest,Warm dry post-maturity weather,Eggs on pods; holes in stored seeds,Dry pods attract bruchids for oviposition,Early harvest; sun drying; seed treatment before storage,"Adult trap counts, seed hole percentage"
chickpea,Harvest,Pod Sucking Bugs / Stink Bugs,Insect Pest,Warm dry 25–32°C,Shriveled seeds; pod punctures,Hardening pods attract sucking pests,Weed removal; insecticide if severe,"Bug count per sweep, punctured pods"
chickpea,Harvest,Aphids (Aphis craccivora),Insect Pest,Cool–dry weather,Sticky honeydew; sooty mold on pods,Late-season feeding reduces seed quality,Neem oil; IMI sprays; support predators,"Aphid count, sooty mold presence"
chickpea,Harvest,"Storage Fungal Rot (Aspergillus, Penicillium)",Fungus,High humidity during drying; delayed harvest,Moldy seeds; off-color grain; foul odor,Moist seeds create perfect environment for fungi,Dry seeds to <12% moisture; proper ventilation,"Seed moisture %, presence of mold patches"
chickpea,Harvest,Mechanical / Weather Damage (Abiotic),Abiotic,Rain before or during harvest,Pod splitting; seed discoloration,Mature pods extremely fragile to moisture changes,Harvest before rainfall; avoid delays,"Weather forecast, pod brittleness checks"
chickpea,Post-Harvest,"Storage Fungal Rot (Aspergillus, Penicillium)",Fungus,"High humidity (>70%), seed moisture >12%, poor aeration","Mold growth, foul odor, discoloration, aflatoxin risk",Residual grain moisture + warm storage conditions,"Dry seeds <10–12%, airtight bags, fumigation","Seed moisture %, storage humidity & temperature"
chickpea,Post-Harvest,Bruchids / Pulse Beetle (Callosobruchus chinensis),Insect Pest,Warm dry environment (28–33°C),"Seed holes, powdery residue, rapid internal feeding",Beetles lay eggs on stored grain; larvae feed inside,"Solarization, hermetic storage, fumigation","Trap counts, % holed seeds, grain weight loss"
chickpea,Post-Harvest,Weevils (Sitophilus spp.),Insect Pest,Warm & humid storage conditions,"Seed tunneling, fine dust accumulation",Warm stores enable rapid multiplication,"Clean stores, fumigation, airtight containers","Live insect activity, frass presence"
chickpea,Post-Harvest,Rodent Damage,Vertebrate Pest,Dry warm shelters,"Gnawed seeds, contamination, urine smell",Rodents seek grain during off-season,"Traps, baiting, improved sanitation","Droppings, gnaw marks, torn bags"
chickpea,Post-Harvest,Secondary Mold (Reactivation),Fungus,Re-wetting of stored grain,Renewed mold growth on previously dried seeds,Poor storage allows moisture absorption,"Store grain off-floor, maintain ventilation","Grain moisture %, humidity spikes"
chickpea,Post-Harvest,Yeast & Bacterial Spoilage,Bacteria / Yeast,"High humidity, poor airflow","Fermented smell, clumping of seeds",Moisture condensation inside bags,"Use dry, ventilated storage; avoid damp bags","Condensation signs, odor checks"
chickpea,Post-Harvest,Insect Fragment Contamination,Insect Residue,Warm dry storage,Presence of dead insect parts in grain,Multiple pests thrive in storage,Identify and eliminate pest hotspots,Visual grain inspection
chickpea,Post-Harvest,Mite Infestation,Mite Pest,High humidity in stores,"Dusty grain appearance, allergenic contamination",Damp grain layers favor mites,"Sun-drying, cold storage",Microscopic mite count
chickpea,Post-Harvest,Admixture & Seed Discoloration (Abiotic),Non-pathogenic,"Poor cleaning, exposure to light/oxidation","Faded color, broken grain",Handling stress & oxidation,Proper cleaning & gentle handling,"Grain purity %, color grading"
chickpea,Post-Harvest,Mycotoxin Risk (Aflatoxin from Aspergillus),Fungal Toxin,"Warm humid storage (25–32°C, RH >70%)",No visible symptoms; toxic contamination,Bad drying practices + fungal spores,"Lab testing, low-moisture storage","Aflatoxin test strips, humidity monitoring"
,,,,,,,,
,,,,,,,,
cotton,Seed Treatment & Sowing,Seed Rot,"Fungus (Rhizoctonia, Aspergillus, Fusarium)","High soil moisture, poorly drained soil, warm & humid conditions","Seeds fail to germinate, softening/melting of seeds",Seed coat is weak; pathogen attacks before germination,"Use fungicide-treated seed, ensure well-drained soil, avoid over-irrigation","Soil moisture >70%, soil temp 20–30°C, delayed germination rates"
cotton,Seed Treatment & Sowing,Damping-Off,"Fungus (Pythium, Rhizoctonia solani)","Cool + wet soils, continuous high humidity, cloudy weather","Seedlings collapse, water-soaked stem base, pre- or post-emergence death",Tender hypocotyl easily invaded by soil fungi,"Treat seeds, apply bioagents (Trichoderma), avoid waterlogging","Soil humidity spikes, emergence gap >20%, NDVI low in early stage patches"
cotton,Seed Treatment & Sowing,Fusarium Wilt (Early Infection),Fungus,"Warm soil (25–30°C), drought + moisture fluctuations","Poor emergence, slight seedling yellowing, weak early root system","Seedling roots are undeveloped, allowing pathogen entry","Resistant varieties, seed treatment with carbendazim, crop rotation","Soil pathogen index, early NDVI decline, localized poor stand"
cotton,Seed Treatment & Sowing,Bacterial Blight (Initial Infection),Bacteria (Xanthomonas citri pv. malvacearum),"High humidity, rainfall splash, warm weather","Water-soaked specks on cotyledons, small lesions",Cotyledons are thin & easily affected,"Use disease-free seed, treat seed with bactericides, avoid crowding","Humidity >85%, recent rainfall, cotyledon spotting trend"
cotton,Seed Treatment & Sowing,Root-Knot Nematode,Nematode (Meloidogyne spp.),"Sandy soils, warm temperatures","Poor emergence, weak seedlings, early root galls (microscopic)",Immature roots are easy targets for nematodes,"Seed coating with nematicides, soil solarization, resistant cultivars","Soil nematode count, patchy poor stands, early stunting patterns"
cotton,Seed Treatment & Sowing,Alternaria Leaf Spot (Early Infection),Fungus,"Warm, humid, prolonged leaf wetness",Small dark specks on cotyledons,First true leaves just forming—easily infected,"Seed treatment, good spacing, avoid overhead irrigation","Leaf wetness >10 hours, humidity >85%, cotyledon lesion count"
cotton,Germination,"Damping-Off (Pythium, Rhizoctonia, Phytophthora)",Fungus,"Cool–wet soils, high humidity, poor drainage","Hypocotyl collapse, water-soaked stem, pre- or post-emergence seedling death",Soft tissues + slow emergence increase susceptibility,"Seed treatment (Metalaxyl, Thiram), avoid overwatering, use raised beds","Soil moisture >70%, soil temp <20°C, missing plants in rows, early NDVI dips"
cotton,Germination,Seedling Root Rot,"Fungus (Fusarium, Rhizoctonia)","Warm humid soil, high organic matter","Brown root lesions, weak or stunted seedlings",Immature root systems allow quick colonization,"Trichoderma seed treatment, crop rotation, ensure aeration","Soil pathogen index, stunted patches, poor root elongation"
cotton,Germination,Bacterial Blight (Early Infection),Bacteria,Warm temps + rainfall splash or irrigation,Tiny water-soaked lesions on cotyledons,Cotyledons thin and vulnerable to bacterial entry,"Disease-free seed, copper-based seed treatment, avoid splash irrigation","RH >85%, cotyledon spotting trend, weather after rainfall"
cotton,Germination,Alternaria Leaf Spot (Early Stage),Fungus,"Warm, humid, leaf wetness periods",Dark specks on cotyledons or first true leaf,Tender tissues lack protective waxy layers,"Seed treatment, good spacing, remove plant debris","Leaf wetness >10 hrs, humidity spikes, lesion count in sampling"
cotton,Germination,Fusarium Wilt (Early Infection),Fungus,"Warm soils (25–30°C), moisture stress fluctuations","Slow emergence, early yellowing, poor vigor",Fungus enters through young roots before lignification,"Resistant varieties, carbendazim seed treatment","Early NDVI decline, soil pathogen load, scattered weak seedlings"
cotton,Germination,Root-Knot Nematode,Nematode (Meloidogyne spp.),"Sandy soils, warm temps","Poor seedling vigor, microscopic early galls, uneven stand",Germinating roots are soft and attractive to nematodes,"Nematicide seed coat, soil solarization, resistant hybrids","Soil nematode count, stunted patches, anomalous emergence patterns"
cotton,Germination,Cotton Leaf Curl Virus (Very Early Transmission),Virus (Whitefly-vectored),"Warm weather, low rainfall, high whitefly activity",Slight leaf curling on tiny emerging leaves (rare this early),Early whitefly feeding can infect seedlings,"Seedling protection nets, vector control, remove alternate hosts","Whitefly count >5/leaf, warm dry spell, leaf deformation count"
cotton,Seedling Establishment & Emergence,Damping-Off (Late Emergence Phase),"Fungus (Rhizoctonia, Pythium, Phytophthora)","High soil moisture, cool or fluctuating temperatures, cloudy weather","Seedlings wilt suddenly, stem constriction at soil line, brownish rot",Tender hypocotyl and weak stem tissues are easily attacked,"Seed treatment, avoid waterlogging, improve soil drainage","Soil moisture >70%, emergence gaps, NDVI drop in rows"
cotton,Seedling Establishment & Emergence,Seedling Root Rot / Early Fusarium Infection,Fungus,"Warm and humid soil, high organic matter","Brown root lesions, weak or stunted seedlings, poor root elongation",Roots are soft and not yet lignified,"Trichoderma application, soil sterilization, crop rotation","Soil pathogen count, patchy weak plants, early stunting"
cotton,Seedling Establishment & Emergence,Alternaria Leaf Spot (Early Stage),Fungus,"Warm, humid conditions; leaf wetness >10 hrs",Dark circular spots on cotyledons/first leaves,New leaves lack protective wax,"Fungicide seed treat, wider spacing, remove residue","Humidity >85%, leaf spot count, early lesion expansion"
cotton,Seedling Establishment & Emergence,Bacterial Blight (Young Seedling Infection),Bacteria,"High humidity, rainfall splash, warm temps",Tiny angular water-soaked lesions on cotyledons and young leaves,Cotyledons and first leaves have weak cuticle,"Clean seed, avoid overhead irrigation, copper sprays","RH spikes, rainfall events, sudden lesion appearance"
cotton,Seedling Establishment & Emergence,Root-Knot Nematode Damage,Nematode,"Sandy soils, warm temperatures","Slow growth, yellowish seedlings, small early root swellings","Soft, developing roots allow nematode penetration","Nematicide seed coat, resistant varieties, solarization","Soil nematode index, uneven emergence, stunted patches"
cotton,Seedling Establishment & Emergence,Cotton Leaf Curl Virus (Early Establishment),Virus (Whitefly-vectored),"Warm, dry weather; high whitefly numbers","Mild early curling, puckering of first leaves",Whitefly feeding begins early when seedlings are tender,"Remove weeds, apply yellow sticky traps, early vector control","Whitefly count >5/leaf, rising temp & dry spell indicators"
cotton,Seedling Establishment & Emergence,Thrips Damage (Vector & Direct Injury),Pest,"Hot, dry climates; low rainfall","Silvery streaks on emerging leaves, curling, distortion",Tender emerging leaves are ideal feeding sites,"Seed treatment (Imidacloprid), blue sticky traps, early sprays","Thrips count >8 per seedling, dry spell continuation"
